

This is the final analysis:
The best mean reward is 138.7073737742625 after episode 5038

Statistics for episode 1750
 profits/by_selling_refurbished/vendor_1:  170.58 (mean),  185.81 (median),   62.20 (std), -317.43 (min),  249.97 (max)
 profits/by_selling_refurbished/vendor_2:  179.52 (mean),  181.00 (median),   23.24 (std),   94.00 (min),  246.00 (max)
 profits/by_selling_refurbished/vendor_3:  163.01 (mean),  162.00 (median),   25.18 (std),   50.00 (min),  234.00 (max)
 profits/by_selling_refurbished/vendor_4:  164.05 (mean),  171.00 (median),   41.72 (std), -106.00 (min),  247.00 (max)
             profits/rebuy_cost/vendor_0:  -32.48 (mean),  -28.79 (median),   22.23 (std), -113.80 (min),   -0.88 (max)
             profits/rebuy_cost/vendor_1: -141.86 (mean), -140.12 (median),   36.39 (std), -261.17 (min),  -49.75 (max)
             profits/rebuy_cost/vendor_2:  -68.73 (mean),  -64.50 (median),   51.45 (std), -239.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -371.08 (mean), -361.00 (median),  119.68 (std), -655.00 (min), -154.00 (max)
             profits/rebuy_cost/vendor_4: -208.76 (mean), -203.24 (median),   65.55 (std), -445.03 (min),  -55.39 (max)
           profits/storage_cost/vendor_0: -136.93 (mean), -119.75 (median),   74.23 (std), -382.80 (min),  -16.40 (max)
           profits/storage_cost/vendor_1:  -67.03 (mean),  -56.30 (median),   39.47 (std), -206.90 (min),  -13.30 (max)
           profits/storage_cost/vendor_2: -143.48 (mean), -115.45 (median),   83.83 (std), -413.70 (min),  -50.60 (max)
           profits/storage_cost/vendor_3: -420.20 (mean), -463.10 (median),   96.17 (std), -499.40 (min),  -75.20 (max)
           profits/storage_cost/vendor_4:  -81.84 (mean),  -69.05 (median),   41.60 (std), -208.30 (min),  -30.00 (max)
                    state/in_circulation:  241.01 (mean),  225.88 (median),   58.90 (std),  145.10 (min),  341.16 (max)
               state/in_storage/vendor_0:   28.09 (mean),   24.80 (median),   15.28 (std),    3.22 (min),   77.66 (max)
               state/in_storage/vendor_1:   14.30 (mean),   12.23 (median),    8.41 (std),    2.48 (min),   43.28 (max)
               state/in_storage/vendor_2:   29.35 (mean),   23.80 (median),   17.21 (std),    9.94 (min),   83.68 (max)
               state/in_storage/vendor_3:   83.09 (mean),   91.16 (median),   19.45 (std),   14.32 (min),   99.80 (max)
               state/in_storage/vendor_4:   17.22 (mean),   14.68 (median),    8.85 (std),    6.06 (min),   43.52 (max)

