

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
         customer/purchases_new/vendor_3:   63.73 (mean),   63.50 (median),    8.68 (std),   40.00 (min),   89.00 (max)
         customer/purchases_new/vendor_4:  121.41 (mean),  121.00 (median),   14.87 (std),   80.00 (min),  163.00 (max)
 customer/purchases_refurbished/vendor_0:   77.65 (mean),   76.50 (median),   21.79 (std),   27.00 (min),  129.00 (max)
 customer/purchases_refurbished/vendor_1:  131.50 (mean),  133.00 (median),   21.31 (std),   75.00 (min),  181.00 (max)
 customer/purchases_refurbished/vendor_2:   90.67 (mean),   92.00 (median),   14.74 (std),   42.00 (min),  128.00 (max)
 customer/purchases_refurbished/vendor_3:   59.63 (mean),   59.00 (median),    8.29 (std),   38.00 (min),   93.00 (max)
 customer/purchases_refurbished/vendor_4:  132.64 (mean),  135.00 (median),   25.11 (std),   60.00 (min),  208.00 (max)
                   owner/rebuys/vendor_0:   37.60 (mean),   37.00 (median),   10.67 (std),   13.00 (min),   73.00 (max)
                   owner/rebuys/vendor_1:   86.30 (mean),   84.00 (median),   22.32 (std),   29.00 (min),  146.00 (max)
                   owner/rebuys/vendor_2:   53.32 (mean),   51.50 (median),   17.90 (std),   17.00 (min),  109.00 (max)
                   owner/rebuys/vendor_3:  173.17 (mean),  168.50 (median),   60.12 (std),   64.00 (min),  311.00 (max)
                   owner/rebuys/vendor_4:   90.90 (mean),   90.00 (median),   23.37 (std),   29.00 (min),  161.00 (max)
                        owner/throw_away:    5.45 (mean),    5.00 (median),    2.57 (std),    0.00 (min),   14.00 (max)
                    profits/all/vendor_0:  237.57 (mean),  246.25 (median),   59.04 (std), -210.44 (min),  366.78 (max)
                    profits/all/vendor_1:  108.75 (mean),  126.62 (median),   67.97 (std), -337.32 (min),  249.56 (max)
                    profits/all/vendor_2:    3.92 (mean),   16.10 (median),   49.39 (std), -204.60 (min),   99.00 (max)
                    profits/all/vendor_3: -383.90 (mean), -413.50 (median),  222.43 (std), -790.00 (min),  163.70 (max)
                    profits/all/vendor_4:   35.34 (mean),   47.24 (median),   78.23 (std), -368.51 (min),  203.66 (max)
         profits/by_selling_new/vendor_0:  195.24 (mean),  195.10 (median),   25.94 (std),   13.18 (min),  291.99 (max)
         profits/by_selling_new/vendor_1:  154.62 (mean),  153.31 (median),   15.35 (std),  114.14 (min),  213.30 (max)
         profits/by_selling_new/vendor_2:   29.84 (mean),   29.00 (median),   21.08 (std),    0.00 (min),   98.00 (max)
         profits/by_selling_new/vendor_3:  188.48 (mean),  187.00 (median),   25.91 (std),  118.00 (min),  261.00 (max)
         profits/by_selling_new/vendor_4:  187.66 (mean),  187.08 (median),   19.10 (std),  139.16 (min),  249.33 (max)
 profits/by_selling_refurbished/vendor_0:  174.03 (mean),  180.82 (median),   45.18 (std), -134.81 (min),  264.58 (max)
 profits/by_selling_refurbished/vendor_1:  164.90 (mean),  185.75 (median),   75.23 (std), -343.07 (min),  270.27 (max)
 profits/by_selling_refurbished/vendor_2:  193.82 (mean),  195.00 (median),   25.41 (std),  100.00 (min),  258.00 (max)
 profits/by_selling_refurbished/vendor_3:  175.42 (mean),  177.00 (median),   34.53 (std), -135.00 (min),  279.00 (max)
 profits/by_selling_refurbished/vendor_4:  172.44 (mean),  184.50 (median),   50.58 (std), -134.00 (min),  244.00 (max)
             profits/rebuy_cost/vendor_0:  -23.37 (mean),  -21.10 (median),   15.61 (std),  -78.12 (min),   -0.08 (max)
             profits/rebuy_cost/vendor_1: -142.26 (mean), -139.04 (median),   40.20 (std), -243.75 (min),  -26.75 (max)
             profits/rebuy_cost/vendor_2:  -75.63 (mean),  -73.00 (median),   50.39 (std), -229.00 (min),    0.00 (max)
